name,acc,short_l,short_l/2,short_l/5,med_l,med_l/2,med_l/5,long_l,long_l/2,long_l/5
4W8Q_1_A,59.864,61.157,56.198,62.5,55.785,62.81,60.417,66.116,64.463,54.167
3RZG_1_A,63.161,39.713,36.538,24.39,69.378,63.462,68.293,65.072,82.692,85.366
4PR7_1_A,64.803,65.315,93.694,100.0,96.396,99.099,100.0,68.919,67.568,86.364
3J9M_35_a,82.109,72.535,80.282,82.143,61.268,47.887,64.286,96.479,95.775,96.429
4XHT_1_A,51.041,55.34,66.667,100.0,62.136,54.902,65.0,43.689,35.294,30.0
4WVU_1_A,41.852,55.102,65.306,100.0,39.796,40.816,36.842,42.857,34.694,36.842
2QXX_1_A,63.321,53.684,34.737,21.053,64.737,62.105,86.842,47.368,83.158,100.0
3VC5_d3vc5a1,64.888,65.414,72.727,96.154,65.414,100.0,100.0,62.406,96.97,100.0
4B9I_1_A,46.189,69.799,60.811,93.103,75.168,98.649,100.0,31.544,24.324,27.586
4ZMK_1_A,47.649,63.38,51.429,50.0,49.296,40.0,28.571,80.282,77.143,78.571
2DY1_d2dy1a4,50.953,54.545,78.947,100.0,75.325,81.579,100.0,70.13,86.842,93.333
2A7U_2_B,50.739,50.0,41.791,42.308,70.896,62.687,38.462,55.97,46.269,26.923
1QGC_6_5,31.424,33.333,58.333,100.0,33.333,58.333,100.0,33.333,58.333,0.0
1XGS_d1xgsb1,52.336,48.052,36.842,20.0,66.234,57.895,46.667,22.078,39.474,100.0
1F56_1_A,40.019,65.934,53.333,72.222,69.231,88.889,100.0,53.846,86.667,100.0
1WEO_1_A,59.753,51.613,63.043,100.0,58.065,47.826,22.222,40.86,34.783,44.444
1N4N_1_A,40.426,65.957,95.652,100.0,57.447,95.652,100.0,46.809,47.826,55.556
4BJ0_1_A,54.533,57.386,54.545,54.286,62.5,70.455,71.429,98.864,100.0,100.0
4UJ7_1_A,67.846,60.274,73.394,86.047,55.708,60.55,58.14,62.557,63.303,93.023
2C4B_1_A,61.553,50.35,88.732,100.0,47.552,87.324,100.0,58.042,36.62,14.286
2KY5_1_A,59.347,52.727,55.556,72.727,74.545,62.963,36.364,100.0,100.0,100.0
5FGB_3_F,4.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5FWH_1_A,63.275,87.245,100.0,100.0,60.714,100.0,100.0,88.776,90.816,92.308
1U6Z_d1u6zb1,63.168,58.291,60.606,84.615,60.302,60.606,64.103,51.759,49.495,76.923
1ODH_1_A,60.039,64.368,64.368,100.0,58.621,56.322,85.294,59.195,58.621,61.765
4CUG_2_E,9.375,90.0,80.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0
3U3L_1_C,63.631,58.798,53.448,71.739,62.661,61.207,71.739,73.391,62.931,76.087
2NSA_1_A,75.879,44.706,43.529,52.941,72.353,62.353,47.059,64.118,58.824,55.882
